X1;X2;X3;X4
72;90;84;71
43;90;61;72
43;50;77;89
45;62;64;89
52;90;70;87
50;56;63;80
41;82;72;80
70;63;64;76
42;81;68;73
63;58;89;80
76;67;82;70
63;86;68;89
85;77;71;86
78;61;61;88
70;69;69;86
86;58;72;83
88;55;85;76
69;73;61;79
68;50;78;77
40;55;86;88
49;58;80;84
75;89;76;78
85;51;89;81
71;86;86;83
79;73;75;72
72;62;78;88
83;76;63;70
73;76;61;80
72;81;60;80
47;88;69;72
87;83;79;74
52;55;61;89
61;81;86;87
42;63;68;73
79;64;78;87
86;64;74;75
90;64;74;87
80;65;65;86
57;74;72;78
72;54;69;85
76;65;90;89
85;77;76;85
50;78;74;76
89;67;61;84
70;68;87;72
56;82;88;70
42;62;71;89
87;88;63;83
40;50;69;70
66;77;69;81
83;63;77;77
55;60;66;79
65;57;88;71
67;87;67;82
73;63;62;70
42;58;90;74
57;56;90;89
88;69;66;81
73;80;82;87
70;84;83;82
74;72;63;89
64;90;67;87
72;84;71;72
57;52;76;79
65;90;79;70
40;72;80;80
56;88;78;75
53;85;71;81
41;76;66;86
76;55;72;74
75;78;62;85
77;84;69;86
53;72;70;89
71;65;63;88
80;62;73;87
74;85;81;75
85;74;65;90
49;69;71;84
46;84;68;74
48;66;60;86
65;52;78;76
40;68;84;70
55;65;70;84
89;68;60;84
83;81;75;79
75;71;71;74
81;55;66;70
73;81;75;90
40;68;68;88
89;84;86;79
70;57;65;75
67;51;71;81
58;83;75;78
58;77;84;78
68;70;73;90
65;54;65;77
49;56;67;74
76;63;82;70
83;76;87;76
47;54;71;78
